id,iddrink,idingredient,strmeasure
1050,13086,264,1
1051,13086,278,1
1052,11634,156,2 oz
1053,11634,248,2 tsp
1054,11634,131,1 tsp
1055,11634,317,Juice of 1/2
1056,11634,213,1
1057,11634,312,1
1058,17027,142,12 oz
1059,17027,216,3 oz
1060,12796,300,3 large
1061,12796,350,3 cups
1062,12796,264,1 1/3 cup superfine
1063,14752,291,1 part
1064,14752,191,2 parts
1065,14752,278,cubes
1066,12214,302,1/2 oz
1067,12214,235,1/2 oz
1068,12214,156,1 oz
1069,12214,207,2 oz
1070,12214,312,1
1071,12214,146,1
1072,16082,97,3/4 oz
1073,16082,4,1/2 oz
1074,16082,19,8 oz
1075,14466,72,1
1076,14466,265,1
1077,14466,263,1
1078,13060,288,1 1/2 oz
